Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-30s,16955,16755,200,1.18,0,0.0,1.0
30-60s,17477,17314,163,0.93,0,0.0,1.0
60-90s,17506,17333,173,0.99,0,0.0,1.0
90-120s,17361,17161,200,1.15,0,0.0,1.0
120-150s,23915,4883,1054,4.41,17978,75.17,20.0
150-180s,23370,2650,645,2.76,20075,85.9,20.0
180-210s,22868,2723,665,2.91,19480,85.18,20.0
210-240s,23106,2895,703,3.04,19508,84.43,20.0
240-270s,22815,2728,710,3.11,19377,84.93,20.0
270-300s,22666,2787,716,3.16,19163,84.55,20.0
300-330s,22146,2790,698,3.15,18658,84.25,20.0
330-360s,22131,2909,645,2.91,18577,83.94,20.0
360-390s,22326,3142,771,3.45,18413,82.47,20.0
390-420s,22738,2656,644,2.83,19438,85.49,20.0
420-450s,20618,12235,143,0.69,8240,39.97,1.0
450-480s,17404,17226,178,1.02,0,0.0,1.0
480-510s,17403,17237,166,0.95,0,0.0,1.0
510-540s,17431,17254,177,1.02,0,0.0,1.0
