Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-30s,12876,12748,128,0.99,0,0.0,1.0
30-60s,12991,12850,141,1.09,0,0.0,1.0
60-90s,13143,13012,131,1.0,0,0.0,1.0
90-120s,13089,12946,143,1.09,0,0.0,1.0
120-150s,23787,4007,999,4.2,18781,78.95,20.0
150-180s,23531,2414,597,2.54,20520,87.2,20.0
180-210s,23640,2709,670,2.83,20261,85.71,20.0
210-240s,23748,2852,692,2.91,20204,85.08,20.0
240-270s,23552,2673,622,2.64,20257,86.01,20.0
270-300s,23732,2621,739,3.11,20372,85.84,20.0
300-330s,23611,2461,618,2.62,20532,86.96,20.0
330-360s,23686,2451,658,2.78,20577,86.87,20.0
360-390s,23590,2559,634,2.69,20397,86.46,20.0
390-420s,23371,2733,647,2.77,19991,85.54,20.0
420-450s,22108,9395,94,0.43,12619,57.08,1.0
450-480s,13041,12920,121,0.93,0,0.0,1.0
480-510s,13042,12903,139,1.07,0,0.0,1.0
510-540s,13039,12923,116,0.89,0,0.0,1.0
