Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-30s,17394,17200,194,1.12,0,0.0,1.0
30-60s,17500,17314,186,1.06,0,0.0,1.0
60-90s,17442,17283,159,0.91,0,0.0,1.0
90-120s,17491,17328,163,0.93,0,0.0,1.0
120-150s,24273,4107,1029,4.24,19137,78.84,20.0
150-180s,23638,2475,618,2.61,20545,86.92,20.0
180-210s,23210,2624,644,2.77,19942,85.92,20.0
210-240s,23466,2692,654,2.79,20120,85.74,20.0
240-270s,23200,2846,700,3.02,19654,84.72,20.0
270-300s,22543,2530,681,3.02,19332,85.76,20.0
300-330s,22267,2749,729,3.27,18789,84.38,20.0
330-360s,22680,2860,717,3.16,19103,84.23,20.0
360-390s,22491,2715,705,3.13,19071,84.79,20.0
390-420s,22407,2443,631,2.82,19333,86.28,20.0
420-450s,21728,10239,108,0.5,11381,52.38,1.0
450-480s,17382,17224,158,0.91,0,0.0,1.0
480-510s,17525,17354,171,0.98,0,0.0,1.0
510-540s,17550,17352,198,1.13,0,0.0,1.0
