Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-30s,13292,13155,137,1.03,0,0.0,1.0
30-60s,13490,13340,150,1.11,0,0.0,1.0
60-90s,13589,13444,145,1.07,0,0.0,1.0
90-120s,13513,13378,135,1.0,0,0.0,1.0
120-150s,23639,4421,1009,4.27,18209,77.03,20.0
150-180s,23760,2728,663,2.79,20369,85.73,20.0
180-210s,23456,2757,684,2.92,20015,85.33,20.0
210-240s,23492,2722,671,2.86,20099,85.56,20.0
240-270s,23228,2557,647,2.79,20024,86.21,20.0
270-300s,23118,2820,692,2.99,19606,84.81,20.0
300-330s,22958,2741,701,3.05,19516,85.01,20.0
330-360s,22873,2466,667,2.92,19740,86.3,20.0
360-390s,22288,2935,695,3.12,18658,83.71,20.0
390-420s,23059,2627,636,2.76,19796,85.85,20.0
420-450s,21733,9258,102,0.47,12373,56.93,1.0
450-480s,13441,13300,141,1.05,0,0.0,1.0
480-510s,13516,13366,150,1.11,0,0.0,1.0
510-540s,13592,13477,115,0.85,0,0.0,1.0
