Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-30s,16773,16592,181,1.08,0,0.0,1.0
30-60s,16758,16576,182,1.09,0,0.0,1.0
60-90s,16778,16615,163,0.97,0,0.0,1.0
90-120s,16829,16638,191,1.13,0,0.0,1.0
120-150s,24128,4525,1071,4.44,18532,76.81,20.0
150-180s,23466,2644,654,2.79,20168,85.95,20.0
180-210s,22664,2494,636,2.81,19534,86.19,20.0
210-240s,22183,2626,654,2.95,18903,85.21,20.0
240-270s,18847,2783,663,3.52,15401,81.72,20.0
270-300s,18561,2394,612,3.3,15555,83.8,20.0
300-330s,18739,2579,657,3.51,15503,82.73,20.0
330-360s,18529,2563,676,3.65,15290,82.52,20.0
360-390s,18385,2758,635,3.45,14992,81.54,20.0
390-420s,18468,2875,696,3.77,14897,80.66,20.0
420-450s,18230,10668,119,0.65,7443,40.83,1.0
450-480s,16312,16142,170,1.04,0,0.0,1.0
480-510s,16256,16082,174,1.07,0,0.0,1.0
510-540s,16241,16076,165,1.02,0,0.0,1.0
