Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-30s,15224,15075,149,0.98,0,0.0,1.0
30-60s,15602,15460,142,0.91,0,0.0,1.0
60-90s,15690,15544,146,0.93,0,0.0,1.0
90-120s,15626,15453,173,1.11,0,0.0,1.0
120-150s,23027,4326,961,4.17,17740,77.04,20.0
150-180s,22491,2328,636,2.83,19527,86.82,20.0
180-210s,22093,2632,639,2.89,18822,85.19,20.0
210-240s,22024,2547,645,2.93,18832,85.51,20.0
240-270s,21812,2734,735,3.37,18343,84.1,20.0
270-300s,21272,2601,657,3.09,18014,84.68,20.0
300-330s,21542,2491,613,2.85,18438,85.59,20.0
330-360s,21007,3049,704,3.35,17254,82.13,20.0
360-390s,21176,2637,654,3.09,17885,84.46,20.0
390-420s,21247,2622,675,3.18,17950,84.48,20.0
420-450s,18550,11385,111,0.6,7054,38.03,1.0
450-480s,15578,15429,149,0.96,0,0.0,1.0
480-510s,15501,15357,144,0.93,0,0.0,1.0
510-540s,15546,15399,147,0.95,0,0.0,1.0
