Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-10s,4493,4449,44,0.98,0,0.0,1.0
10-20s,4687,4646,41,0.87,0,0.0,1.0
20-30s,4804,4706,98,2.04,0,0.0,2.0
30-40s,6430,4549,260,4.04,1621,25.21,6.0
40-50s,7675,4267,110,1.43,3298,42.97,2.0
50-60s,7636,4292,264,3.46,3080,40.34,6.0
60-70s,7854,4062,82,1.04,3710,47.24,2.0
70-80s,7782,4183,241,3.1,3358,43.15,6.0
80-90s,7725,4335,94,1.22,3296,42.67,2.0
90-100s,7706,4114,266,3.45,3326,43.16,6.0
100-110s,7604,3885,85,1.12,3634,47.79,2.0
110-120s,7575,3953,245,3.23,3377,44.58,6.0
120-130s,7752,4126,119,1.54,3507,45.24,2.0
130-140s,7750,3915,232,2.99,3603,46.49,6.0
140-150s,7543,3972,90,1.19,3481,46.15,2.0
150-160s,7384,3818,225,3.05,3341,45.25,6.0
160-170s,7362,3842,91,1.24,3429,46.58,2.0
170-180s,7471,4016,247,3.31,3208,42.94,6.0
180-190s,7425,4040,83,1.12,3302,44.47,2.0
190-200s,7433,4319,252,3.39,2862,38.5,6.0
200-210s,7201,4342,58,0.81,2801,38.9,1.0
210-220s,4944,4625,46,0.93,273,5.52,1.0
