Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-10s,3359,3321,38,1.13,0,0.0,1.0
10-20s,3661,3613,48,1.31,0,0.0,1.0
20-30s,3547,3481,66,1.86,0,0.0,2.0
30-40s,3748,3517,231,6.16,0,0.0,6.0
40-50s,7056,3402,77,1.09,3577,50.69,2.0
50-60s,7494,3252,200,2.67,4042,53.94,6.0
60-70s,7751,3477,76,0.98,4198,54.16,2.0
70-80s,7818,3228,196,2.51,4394,56.2,6.0
80-90s,7740,3445,101,1.3,4194,54.19,2.0
90-100s,7606,3313,206,2.71,4087,53.73,6.0
100-110s,4432,3476,83,1.87,873,19.7,2.0
110-120s,5260,3498,199,3.78,1563,29.71,6.0
120-130s,7662,3370,76,0.99,4216,55.02,2.0
130-140s,7011,3418,177,2.52,3416,48.72,6.0
140-150s,7692,3389,89,1.16,4214,54.78,2.0
150-160s,5339,3315,192,3.6,1832,34.31,6.0
160-170s,5563,3464,79,1.42,2020,36.31,2.0
170-180s,7479,3219,162,2.17,4098,54.79,6.0
180-190s,7609,3343,71,0.93,4195,55.13,2.0
190-200s,5746,3460,184,3.2,2102,36.58,6.0
200-210s,3491,3446,45,1.29,0,0.0,1.0
210-220s,3507,3474,33,0.94,0,0.0,1.0
