Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-10s,5394,5343,51,0.95,0,0.0,1.0
10-20s,5781,5724,57,0.99,0,0.0,1.0
20-30s,5843,5743,100,1.71,0,0.0,2.0
30-40s,7270,5397,316,4.35,1557,21.42,6.0
40-50s,7476,4179,90,1.2,3207,42.9,2.0
50-60s,7593,4177,264,3.48,3152,41.51,6.0
60-70s,7760,4319,127,1.64,3314,42.71,2.0
70-80s,7452,4143,290,3.89,3019,40.51,6.0
80-90s,7815,4039,98,1.25,3678,47.06,2.0
90-100s,7599,4149,258,3.4,3192,42.01,6.0
100-110s,7530,4806,115,1.53,2609,34.65,2.0
110-120s,7324,4467,239,3.26,2618,35.75,6.0
120-130s,7347,4465,105,1.43,2777,37.8,2.0
130-140s,7585,4925,273,3.6,2387,31.47,6.0
140-150s,7619,4846,121,1.59,2652,34.81,2.0
150-160s,7575,4378,269,3.55,2928,38.65,6.0
160-170s,7570,4029,104,1.37,3437,45.4,2.0
170-180s,7334,4326,280,3.82,2728,37.2,6.0
180-190s,7397,4415,111,1.5,2871,38.81,2.0
190-200s,7294,4455,294,4.03,2545,34.89,6.0
200-210s,7404,4319,49,0.66,3036,41.0,1.0
210-220s,6446,5376,53,0.82,1017,15.78,1.0
