Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-10s,5219,5174,45,0.86,0,0.0,1.0
10-20s,5171,5118,53,1.02,0,0.0,1.0
20-30s,5265,5142,123,2.34,0,0.0,2.0
30-40s,7451,4776,311,4.17,2364,31.73,6.0
40-50s,7957,4230,84,1.06,3643,45.78,2.0
50-60s,7979,4281,259,3.25,3439,43.1,6.0
60-70s,7839,4250,90,1.15,3499,44.64,2.0
70-80s,7650,4189,259,3.39,3202,41.86,6.0
80-90s,7916,4556,96,1.21,3264,41.23,2.0
90-100s,7963,4124,280,3.52,3559,44.69,6.0
100-110s,7818,3881,61,0.78,3876,49.58,2.0
110-120s,7791,4148,260,3.34,3383,43.42,6.0
120-130s,7823,4320,101,1.29,3402,43.49,2.0
130-140s,7856,4141,305,3.88,3410,43.41,6.0
140-150s,7948,3986,99,1.25,3863,48.6,2.0
150-160s,7894,3937,234,2.96,3723,47.16,6.0
160-170s,7856,3868,95,1.21,3893,49.55,2.0
170-180s,7872,4212,289,3.67,3371,42.82,6.0
180-190s,7763,4205,80,1.03,3478,44.8,2.0
190-200s,7692,4049,248,3.22,3395,44.14,6.0
200-210s,7763,4395,46,0.59,3322,42.79,1.0
210-220s,7781,4863,50,0.64,2868,36.86,1.0
