Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-10s,5389,5327,62,1.15,0,0.0,1.0
10-20s,5600,5548,52,0.93,0,0.0,1.0
20-30s,5612,5505,107,1.91,0,0.0,2.0
30-40s,8253,5115,301,3.65,2837,34.38,6.0
40-50s,7916,4520,97,1.23,3299,41.68,2.0
50-60s,7919,3931,260,3.28,3728,47.08,6.0
60-70s,7813,3959,78,1.0,3776,48.33,2.0
70-80s,7896,4455,274,3.47,3167,40.11,6.0
80-90s,7881,4297,92,1.17,3492,44.31,2.0
90-100s,7931,4663,306,3.86,2962,37.35,6.0
100-110s,7907,4083,83,1.05,3741,47.31,2.0
110-120s,7783,4069,263,3.38,3451,44.34,6.0
120-130s,7895,4619,107,1.36,3169,40.14,2.0
130-140s,7939,4585,275,3.46,3079,38.78,6.0
140-150s,7940,4112,96,1.21,3732,47.0,2.0
150-160s,7817,4525,281,3.59,3011,38.52,6.0
160-170s,7925,4468,101,1.27,3356,42.35,2.0
170-180s,7618,4111,282,3.7,3225,42.33,6.0
180-190s,7887,4001,85,1.08,3801,48.19,2.0
190-200s,7858,4093,262,3.33,3503,44.58,6.0
200-210s,7503,4650,50,0.67,2803,37.36,1.0
210-220s,5561,5495,66,1.19,0,0.0,1.0
