Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-10s,4866,4826,40,0.82,0,0.0,1.0
10-20s,4992,4945,47,0.94,0,0.0,1.0
20-30s,4945,4840,105,2.12,0,0.0,2.0
30-40s,7376,4604,292,3.96,2480,33.62,6.0
40-50s,7654,4259,81,1.06,3314,43.3,2.0
50-60s,7808,3932,225,2.88,3651,46.76,6.0
60-70s,7893,4143,81,1.03,3669,46.48,2.0
70-80s,7902,4590,288,3.64,3024,38.27,6.0
80-90s,7881,4152,119,1.51,3610,45.81,2.0
90-100s,7824,3678,250,3.2,3896,49.8,6.0
100-110s,7735,3877,85,1.1,3773,48.78,2.0
110-120s,7672,4118,256,3.34,3298,42.99,6.0
120-130s,7728,4325,74,0.96,3329,43.08,2.0
130-140s,6508,4676,277,4.26,1555,23.89,6.0
140-150s,6671,4821,90,1.35,1760,26.38,2.0
150-160s,7635,4055,268,3.51,3312,43.38,6.0
160-170s,7904,3839,56,0.71,4009,50.72,2.0
170-180s,7922,4109,257,3.24,3556,44.89,6.0
180-190s,7814,4144,89,1.14,3581,45.83,2.0
190-200s,7310,3850,248,3.39,3212,43.94,6.0
200-210s,7489,4183,55,0.73,3251,43.41,1.0
210-220s,6308,4663,43,0.68,1602,25.4,1.0
