Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-10s,5726,5672,54,0.94,0,0.0,1.0
10-20s,5796,5759,37,0.64,0,0.0,1.0
20-30s,5837,5706,131,2.24,0,0.0,2.0
30-40s,7697,5321,332,4.31,2044,26.56,6.0
40-50s,7873,4401,89,1.13,3383,42.97,2.0
50-60s,6707,3623,245,3.65,2839,42.33,6.0
60-70s,7801,4610,92,1.18,3099,39.73,2.0
70-80s,6613,4246,284,4.29,2083,31.5,6.0
80-90s,7889,4372,93,1.18,3424,43.4,2.0
90-100s,7913,3697,266,3.36,3950,49.92,6.0
100-110s,7860,3437,73,0.93,4350,55.34,2.0
110-120s,7599,4243,273,3.59,3083,40.57,6.0
120-130s,7853,4416,80,1.02,3357,42.75,2.0
130-140s,7793,4363,280,3.59,3150,40.42,6.0
140-150s,7848,4073,91,1.16,3684,46.94,2.0
150-160s,7808,3798,241,3.09,3769,48.27,6.0
160-170s,7880,4338,94,1.19,3448,43.76,2.0
170-180s,7774,4604,276,3.55,2894,37.23,6.0
180-190s,7822,4205,91,1.16,3526,45.08,2.0
190-200s,7714,4237,251,3.25,3226,41.82,6.0
200-210s,7846,4516,49,0.62,3281,41.82,1.0
210-220s,7737,5110,43,0.56,2584,33.4,1.0
