Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-10s,5745,5680,65,1.13,0,0.0,1.0
10-20s,5801,5749,52,0.9,0,0.0,1.0
20-30s,5868,5756,112,1.91,0,0.0,2.0
30-40s,7960,5152,354,4.45,2454,30.83,6.0
40-50s,7958,4052,71,0.89,3835,48.19,2.0
50-60s,7786,4459,278,3.57,3049,39.16,6.0
60-70s,7764,4575,84,1.08,3105,39.99,2.0
70-80s,7953,4227,283,3.56,3443,43.29,6.0
80-90s,7922,4124,73,0.92,3725,47.02,2.0
90-100s,7943,4756,325,4.09,2862,36.03,6.0
100-110s,7943,4006,85,1.07,3852,48.5,2.0
110-120s,7944,4408,277,3.49,3259,41.02,6.0
120-130s,7857,4850,96,1.22,2911,37.05,2.0
130-140s,7905,4052,273,3.45,3580,45.29,6.0
140-150s,7881,4143,72,0.91,3666,46.52,2.0
150-160s,7925,4585,291,3.67,3049,38.47,6.0
160-170s,7757,4557,103,1.33,3097,39.93,2.0
170-180s,7852,4129,256,3.26,3467,44.15,6.0
180-190s,7870,3990,81,1.03,3799,48.27,2.0
190-200s,7916,4647,309,3.9,2960,37.39,6.0
200-210s,7866,4507,58,0.74,3301,41.97,1.0
210-220s,7917,5048,56,0.71,2813,35.53,1.0
