Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
<<<<<<< HEAD
<<<<<<< HEAD
0-20s,11369,11239,130,1.14,0,0.0,1.0
20-40s,11652,11517,135,1.16,0,0.0,1.0
40-60s,11628,11508,120,1.03,0,0.0,1.0
60-80s,16259,286,662,4.07,15311,94.17,100.0
80-100s,15431,4825,41,0.27,10565,68.47,1.0
100-120s,12791,11310,114,0.89,1367,10.69,1.0
120-140s,11629,11525,104,0.89,0,0.0,1.0
=======
<<<<<<< HEAD
0-20s,11346,11226,120,1.06,0,0.0,1.0
20-40s,11664,11526,138,1.18,0,0.0,1.0
40-60s,11671,11549,122,1.05,0,0.0,1.0
60-80s,15666,333,664,4.24,14669,93.64,100.0
80-100s,14715,4496,42,0.29,10177,69.16,1.0
100-120s,12608,11191,88,0.7,1329,10.54,1.0
120-140s,11613,11497,116,1.0,0,0.0,1.0
=======
0-20s,7513,7444,69,0.92,0,0.0,1.0
20-40s,7636,7544,92,1.2,0,0.0,1.0
40-60s,7669,7588,81,1.06,0,0.0,1.0
60-80s,16439,267,701,4.26,15471,94.11,100.0
80-100s,15722,2961,36,0.23,12725,80.94,1.0
100-120s,10616,7443,69,0.65,3104,29.24,1.0
120-140s,7769,7693,76,0.98,0,0.0,1.0
>>>>>>> bf18038 (re-run experiments)
>>>>>>> e95965d (re-run experiments)
=======
0-20s,11081,10970,111,1.0,0,0.0,1.0
20-40s,11648,11517,131,1.12,0,0.0,1.0
40-60s,11678,11554,124,1.06,0,0.0,1.0
60-80s,16382,573,667,4.07,15142,92.43,100.0
80-100s,15599,4533,39,0.25,11027,70.69,1.0
100-120s,12928,11342,102,0.79,1484,11.48,1.0
120-140s,11681,11552,129,1.1,0,0.0,1.0
>>>>>>> 0278a0b (add experiments)
