Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-30s,5394,5332,51,0.95,11,0.2,1.0
30-60s,2294,2080,123,5.36,91,3.97,1.0
60-90s,4136,3683,102,2.47,351,8.49,1.0
90-120s,4447,3938,89,2.0,420,9.44,1.0
120-150s,4070,3584,98,2.41,388,9.53,1.0
150-180s,4082,3639,101,2.47,342,8.38,1.0
180-210s,4368,3852,109,2.5,407,9.32,1.0
210-240s,4368,3902,89,2.04,377,8.63,1.0
240-270s,4136,3658,104,2.51,374,9.04,1.0
270-300s,4424,3940,93,2.1,391,8.84,1.0
300-330s,3900,3504,86,2.21,310,7.95,1.0
330-360s,5201,4946,72,1.38,183,3.52,1.0
360-390s,5641,5585,47,0.83,9,0.16,1.0
390-420s,5469,5377,64,1.17,28,0.51,1.0
