Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-30s,11364,11214,115,1.01,35,0.31,1.0
30-60s,4540,4062,168,3.7,310,6.83,1.0
60-90s,9400,8272,163,1.73,965,10.27,1.0
90-120s,9040,8068,142,1.57,830,9.18,1.0
120-150s,8654,7678,138,1.59,838,9.68,1.0
150-180s,8180,7199,151,1.85,830,10.15,1.0
180-210s,7880,6930,142,1.8,808,10.25,1.0
210-240s,8938,7884,176,1.97,878,9.82,1.0
240-270s,8740,7682,154,1.76,904,10.34,1.0
270-300s,9091,8061,145,1.59,885,9.73,1.0
300-330s,8968,7892,169,1.88,907,10.11,1.0
330-360s,11710,11157,123,1.05,430,3.67,1.0
360-390s,11893,11601,122,1.03,170,1.43,1.0
390-420s,11506,11285,96,0.83,125,1.09,1.0
