Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-30s,5510,5451,49,0.89,10,0.18,1.0
30-60s,2748,2473,136,4.95,139,5.06,1.0
60-90s,6164,5438,128,2.08,598,9.7,1.0
90-120s,5961,5294,106,1.78,561,9.41,1.0
120-150s,5688,5051,106,1.86,531,9.34,1.0
150-180s,5720,5113,127,2.22,480,8.39,1.0
180-210s,5847,5164,139,2.38,544,9.3,1.0
210-240s,5357,4745,123,2.3,489,9.13,1.0
240-270s,5373,4778,110,2.05,485,9.03,1.0
270-300s,5829,5174,134,2.3,521,8.94,1.0
300-330s,5695,5048,126,2.21,521,9.15,1.0
330-360s,6547,6147,78,1.19,322,4.92,1.0
360-390s,5480,5415,59,1.08,6,0.11,1.0
390-420s,5883,5775,76,1.29,32,0.54,1.0
