Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-30s,8528,8420,84,0.98,24,0.28,1.0
30-60s,3460,3090,144,4.16,226,6.53,1.0
60-90s,6103,5439,127,2.08,537,8.8,1.0
90-120s,5996,5332,101,1.68,563,9.39,1.0
120-150s,5956,5286,127,2.13,543,9.12,1.0
150-180s,5430,4837,114,2.1,479,8.82,1.0
180-210s,5469,4893,116,2.12,460,8.41,1.0
210-240s,5539,4891,119,2.15,529,9.55,1.0
240-270s,5549,4929,127,2.29,493,8.88,1.0
270-300s,5790,5165,112,1.93,513,8.86,1.0
300-330s,5900,5266,112,1.9,522,8.85,1.0
330-360s,8583,8128,106,1.23,349,4.07,1.0
360-390s,8535,8439,74,0.87,22,0.26,1.0
390-420s,8718,8572,81,0.93,65,0.75,1.0
