Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-30s,7777,7707,69,0.89,1,0.01,1.0
30-60s,2372,2148,125,5.27,99,4.17,1.0
60-90s,4964,4383,102,2.05,479,9.65,1.0
90-120s,5347,4780,105,1.96,462,8.64,1.0
120-150s,4753,4246,101,2.12,406,8.54,1.0
150-180s,5628,4989,113,2.01,526,9.35,1.0
180-210s,5406,4846,108,2.0,452,8.36,1.0
210-240s,5134,4554,114,2.22,466,9.08,1.0
240-270s,4863,4294,106,2.18,463,9.52,1.0
270-300s,5223,4625,108,2.07,490,9.38,1.0
300-330s,5090,4475,109,2.14,506,9.94,1.0
330-360s,7057,6672,87,1.23,298,4.22,1.0
360-390s,7214,7109,68,0.94,37,0.51,1.0
390-420s,7021,6890,81,1.15,50,0.71,1.0
