Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-30s,8067,7954,97,1.2,16,0.2,1.0
30-60s,3218,2909,133,4.13,176,5.47,1.0
60-90s,4974,4404,108,2.17,462,9.29,1.0
90-120s,5506,4915,99,1.8,492,8.94,1.0
120-150s,5394,4785,113,2.09,496,9.2,1.0
150-180s,5200,4657,106,2.04,437,8.4,1.0
180-210s,5588,4984,109,1.95,495,8.86,1.0
210-240s,6089,5372,109,1.79,608,9.99,1.0
240-270s,4967,4435,109,2.19,423,8.52,1.0
270-300s,5615,4945,122,2.17,548,9.76,1.0
300-330s,5675,4980,107,1.89,588,10.36,1.0
330-360s,8431,7964,90,1.07,377,4.47,1.0
360-390s,7807,7663,84,1.08,60,0.77,1.0
390-420s,8223,8131,54,0.66,38,0.46,1.0
