Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-30s,8946,8826,93,1.04,27,0.3,1.0
30-60s,3295,2934,139,4.22,222,6.74,1.0
60-90s,5993,5288,124,2.07,581,9.69,1.0
90-120s,5925,5265,113,1.91,547,9.23,1.0
120-150s,6216,5555,120,1.93,541,8.7,1.0
150-180s,5593,5002,104,1.86,487,8.71,1.0
180-210s,5629,4993,123,2.19,513,9.11,1.0
210-240s,5870,5225,111,1.89,534,9.1,1.0
240-270s,5717,5058,125,2.19,534,9.34,1.0
270-300s,6043,5357,118,1.95,568,9.4,1.0
300-330s,6277,5528,142,2.26,607,9.67,1.0
330-360s,8640,8132,96,1.11,412,4.77,1.0
360-390s,8623,8500,92,1.07,31,0.36,1.0
390-420s,9067,8933,92,1.01,42,0.46,1.0
