Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-30s,7606,7518,75,0.99,13,0.17,1.0
30-60s,3113,2784,138,4.43,191,6.14,1.0
60-90s,5340,4701,121,2.27,518,9.7,1.0
90-120s,5503,4916,105,1.91,482,8.76,1.0
120-150s,5355,4710,119,2.22,526,9.82,1.0
150-180s,6210,5550,118,1.9,542,8.73,1.0
180-210s,5482,4887,122,2.23,473,8.63,1.0
210-240s,5493,4850,111,2.02,532,9.69,1.0
240-270s,5524,4875,120,2.17,529,9.58,1.0
270-300s,5818,5156,108,1.86,554,9.52,1.0
300-330s,5854,5188,114,1.95,552,9.43,1.0
330-360s,8064,7672,78,0.97,314,3.89,1.0
360-390s,7942,7844,73,0.92,25,0.31,1.0
390-420s,7560,7402,87,1.15,71,0.94,1.0
