Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-20s,3346,3313,33,0.99,0,0.0,1.0
20-40s,3441,3401,40,1.16,0,0.0,1.0
40-60s,3575,3529,46,1.29,0,0.0,1.0
60-80s,12439,2717,624,5.02,9098,73.14,20.0
80-100s,15771,2224,24,0.15,13523,85.75,1.0
100-120s,9017,3483,39,0.43,5495,60.94,1.0
120-140s,3521,3490,31,0.88,0,0.0,1.0
140-160s,15503,725,722,4.66,14056,90.67,60.0
160-180s,15493,1867,33,0.21,13593,87.74,1.0
180-200s,9471,3444,29,0.31,5998,63.33,1.0
200-220s,3488,3457,31,0.89,0,0.0,1.0
220-240s,15827,205,750,4.74,14872,93.97,100.0
240-260s,12792,1288,15,0.12,11489,89.81,1.0
260-280s,3472,3440,32,0.92,0,0.0,1.0
280-300s,3517,3483,34,0.97,0,0.0,1.0
