Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-20s,6775,6697,78,1.15,0,0.0,1.0
20-40s,6665,6605,60,0.9,0,0.0,1.0
40-60s,6594,6522,72,1.09,0,0.0,1.0
60-80s,15665,2927,683,4.36,12055,76.95,20.0
80-100s,13427,4329,43,0.32,9055,67.44,1.0
100-120s,6823,6762,61,0.89,0,0.0,1.0
120-140s,6799,6741,58,0.85,0,0.0,1.0
140-160s,16643,572,761,4.57,15310,91.99,60.0
160-180s,13383,2558,28,0.21,10797,80.68,1.0
180-200s,6482,6425,57,0.88,0,0.0,1.0
200-220s,6782,6713,69,1.02,0,0.0,1.0
220-240s,16662,82,713,4.28,15867,95.23,100.0
240-260s,15623,2662,19,0.12,12942,82.84,1.0
260-280s,9396,6376,56,0.6,2964,31.55,1.0
280-300s,6526,6461,65,1.0,0,0.0,1.0
