Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-20s,11154,11044,110,0.99,0,0.0,1.0
20-40s,11620,11497,123,1.06,0,0.0,1.0
40-60s,11612,11515,97,0.84,0,0.0,1.0
60-80s,16102,3051,666,4.14,12385,76.92,20.0
80-100s,15304,7484,86,0.56,7734,50.54,1.0
100-120s,11710,11534,111,0.95,65,0.56,1.0
120-140s,11636,11519,117,1.01,0,0.0,1.0
140-160s,16005,978,714,4.46,14313,89.43,60.0
160-180s,14937,4098,58,0.39,10781,72.18,1.0
180-200s,13146,11279,99,0.75,1768,13.45,1.0
200-220s,11680,11560,120,1.03,0,0.0,1.0
220-240s,15772,515,668,4.24,14589,92.5,100.0
240-260s,14736,4497,50,0.34,10189,69.14,1.0
260-280s,12621,11294,112,0.89,1215,9.63,1.0
280-300s,11678,11557,121,1.04,0,0.0,1.0
