Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-20s,7336,7258,78,1.06,0,0.0,1.0
20-40s,7654,7590,64,0.84,0,0.0,1.0
40-60s,7733,7657,76,0.98,0,0.0,1.0
60-80s,14976,3257,671,4.48,11048,73.77,20.0
80-100s,15337,4669,54,0.35,10614,69.21,1.0
100-120s,12739,7388,81,0.64,5270,41.37,1.0
120-140s,7730,7647,83,1.07,0,0.0,1.0
140-160s,15694,901,736,4.69,14057,89.57,60.0
160-180s,13385,3033,53,0.4,10299,76.94,1.0
180-200s,7776,7694,82,1.05,0,0.0,1.0
200-220s,7741,7674,67,0.87,0,0.0,1.0
220-240s,15337,411,719,4.69,14207,92.63,100.0
240-260s,14564,2872,33,0.23,11659,80.05,1.0
260-280s,10161,7602,84,0.83,2475,24.36,1.0
280-300s,7799,7718,81,1.04,0,0.0,1.0
