Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-20s,11202,11067,135,1.21,0,0.0,1.0
20-40s,11443,11317,126,1.1,0,0.0,1.0
40-60s,11473,11347,126,1.1,0,0.0,1.0
60-80s,16423,2775,660,4.02,12988,79.08,20.0
80-100s,15386,7136,79,0.51,8171,53.11,1.0
100-120s,11485,11363,122,1.06,0,0.0,1.0
120-140s,11508,11370,138,1.2,0,0.0,1.0
140-160s,16632,859,719,4.32,15054,90.51,60.0
160-180s,15777,4367,55,0.35,11355,71.97,1.0
180-200s,13010,11097,116,0.89,1797,13.81,1.0
200-220s,11514,11415,99,0.86,0,0.0,1.0
220-240s,16518,328,685,4.15,15505,93.87,100.0
240-260s,15501,4673,44,0.28,10784,69.57,1.0
260-280s,12728,11173,106,0.83,1449,11.38,1.0
280-300s,11531,11398,133,1.15,0,0.0,1.0
