Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-20s,11573,11463,110,0.95,0,0.0,1.0
20-40s,11657,11537,120,1.03,0,0.0,1.0
40-60s,11255,11156,99,0.88,0,0.0,1.0
60-80s,15131,2815,678,4.48,11638,76.91,20.0
80-100s,15757,7689,79,0.5,7989,50.7,1.0
100-120s,13247,11240,130,0.98,1877,14.17,1.0
120-140s,11664,11545,119,1.02,0,0.0,1.0
140-160s,16503,649,810,4.91,15044,91.16,60.0
160-180s,15600,3891,50,0.32,11659,74.74,1.0
180-200s,13862,10699,115,0.83,3048,21.99,1.0
200-220s,11710,11574,136,1.16,0,0.0,1.0
220-240s,16185,120,652,4.03,15413,95.23,100.0
240-260s,15282,4952,46,0.3,10284,67.29,1.0
260-280s,12948,11369,110,0.85,1469,11.35,1.0
280-300s,11705,11573,132,1.13,0,0.0,1.0
