Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-10s,3582,3537,36,1.01,9,0.25,1.0
10-20s,3742,3698,41,1.1,3,0.08,1.0
20-30s,3937,3816,85,2.16,36,0.91,2.0
30-40s,4173,3818,224,5.37,131,3.14,6.0
40-50s,4089,3821,105,2.57,163,3.99,2.0
50-60s,4096,3763,232,5.66,101,2.47,6.0
60-70s,4042,3793,106,2.62,143,3.54,2.0
70-80s,4103,3783,223,5.44,97,2.36,6.0
80-90s,3981,3767,81,2.03,133,3.34,2.0
90-100s,4131,3819,221,5.35,91,2.2,6.0
100-110s,4041,3814,97,2.4,130,3.22,2.0
110-120s,3957,3637,206,5.21,114,2.88,6.0
120-130s,3991,3762,97,2.43,132,3.31,2.0
130-140s,4085,3742,237,5.8,106,2.59,6.0
140-150s,4164,3924,91,2.19,149,3.58,2.0
150-160s,4111,3772,223,5.42,116,2.82,6.0
160-170s,4165,3928,96,2.3,141,3.39,2.0
170-180s,4086,3738,239,5.85,109,2.67,6.0
180-190s,4035,3774,96,2.38,165,4.09,2.0
190-200s,4217,3853,237,5.62,127,3.01,6.0
200-210s,3955,3803,40,1.01,112,2.83,1.0
210-220s,3949,3882,39,0.99,28,0.71,1.0
