Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-10s,5627,5568,52,0.92,7,0.12,1.0
10-20s,5792,5753,38,0.66,1,0.02,1.0
20-30s,5857,5735,111,1.9,11,0.19,2.0
30-40s,6149,5658,343,5.58,148,2.41,6.0
40-50s,6014,5727,128,2.13,159,2.64,2.0
50-60s,6198,5654,365,5.89,179,2.89,6.0
60-70s,6039,5702,121,2.0,216,3.58,2.0
70-80s,6154,5640,347,5.64,167,2.71,6.0
80-90s,6058,5730,127,2.1,201,3.32,2.0
90-100s,6157,5657,355,5.77,145,2.36,6.0
100-110s,6082,5719,146,2.4,217,3.57,2.0
110-120s,6182,5645,367,5.94,170,2.75,6.0
120-130s,6079,5732,129,2.12,218,3.59,2.0
130-140s,6164,5654,349,5.66,161,2.61,6.0
140-150s,6035,5736,133,2.2,166,2.75,2.0
150-160s,6198,5656,365,5.89,177,2.86,6.0
160-170s,6044,5741,126,2.08,177,2.93,2.0
170-180s,6166,5650,362,5.87,154,2.5,6.0
180-190s,6045,5744,113,1.87,188,3.11,2.0
190-200s,6186,5670,363,5.87,153,2.47,6.0
200-210s,6000,5758,67,1.12,175,2.92,1.0
210-220s,5810,5727,61,1.05,22,0.38,1.0
