Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-10s,3849,3793,41,1.07,15,0.39,1.0
10-20s,3968,3930,34,0.86,4,0.1,1.0
20-30s,3903,3808,73,1.87,22,0.56,2.0
30-40s,4275,3892,250,5.85,133,3.11,6.0
40-50s,4111,3887,83,2.02,141,3.43,2.0
50-60s,4147,3760,256,6.17,131,3.16,6.0
60-70s,4125,3864,91,2.21,170,4.12,2.0
70-80s,4280,3909,234,5.47,137,3.2,6.0
80-90s,4046,3833,95,2.35,118,2.92,2.0
90-100s,4186,3813,242,5.78,131,3.13,6.0
100-110s,4101,3850,87,2.12,164,4.0,2.0
110-120s,4201,3829,245,5.83,127,3.02,6.0
120-130s,4141,3895,92,2.22,154,3.72,2.0
130-140s,4220,3863,230,5.45,127,3.01,6.0
140-150s,4186,3971,68,1.62,147,3.51,2.0
150-160s,4189,3871,225,5.37,93,2.22,6.0
160-170s,4119,3877,94,2.28,148,3.59,2.0
170-180s,4127,3778,229,5.55,120,2.91,6.0
180-190s,4155,3909,102,2.45,144,3.47,2.0
190-200s,4202,3834,252,6.0,116,2.76,6.0
200-210s,4065,3887,40,0.98,138,3.39,1.0
210-220s,3974,3902,41,1.03,31,0.78,1.0
