Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-10s,2827,2774,39,1.38,14,0.5,1.0
10-20s,2794,2765,26,0.93,3,0.11,1.0
20-30s,2900,2833,56,1.93,11,0.38,2.0
30-40s,3236,2979,181,5.59,76,2.35,6.0
40-50s,2880,2722,67,2.33,91,3.16,2.0
50-60s,3034,2799,158,5.21,77,2.54,6.0
60-70s,2858,2693,57,1.99,108,3.78,2.0
70-80s,3032,2796,160,5.28,76,2.51,6.0
80-90s,2985,2820,57,1.91,108,3.62,2.0
90-100s,3137,2842,184,5.87,111,3.54,6.0
100-110s,3014,2813,73,2.42,128,4.25,2.0
110-120s,3089,2790,182,5.89,117,3.79,6.0
120-130s,3092,2886,64,2.07,142,4.59,2.0
130-140s,2994,2755,143,4.78,96,3.21,6.0
140-150s,2969,2810,61,2.05,98,3.3,2.0
150-160s,2893,2658,138,4.77,97,3.35,6.0
160-170s,2959,2771,72,2.43,116,3.92,2.0
170-180s,3019,2736,168,5.56,115,3.81,6.0
180-190s,2873,2683,77,2.68,113,3.93,2.0
190-200s,3110,2832,174,5.59,104,3.34,6.0
200-210s,2878,2746,36,1.25,96,3.34,1.0
210-220s,2884,2819,35,1.21,30,1.04,1.0
