Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-10s,4473,4413,48,1.07,12,0.27,1.0
10-20s,4511,4457,50,1.11,4,0.09,1.0
20-30s,4559,4437,102,2.24,20,0.44,2.0
30-40s,4779,4394,265,5.55,120,2.51,6.0
40-50s,4754,4518,83,1.75,153,3.22,2.0
50-60s,4439,4048,271,6.1,120,2.7,6.0
60-70s,4673,4419,99,2.12,155,3.32,2.0
70-80s,4662,4255,274,5.88,133,2.85,6.0
80-90s,4658,4424,87,1.87,147,3.16,2.0
90-100s,4833,4382,295,6.1,156,3.23,6.0
100-110s,4826,4516,119,2.47,191,3.96,2.0
110-120s,4864,4415,280,5.76,169,3.47,6.0
120-130s,4738,4463,101,2.13,174,3.67,2.0
130-140s,4789,4379,280,5.85,130,2.71,6.0
140-150s,4737,4478,108,2.28,151,3.19,2.0
150-160s,4827,4386,286,5.93,155,3.21,6.0
160-170s,4760,4488,103,2.16,169,3.55,2.0
170-180s,4870,4420,276,5.67,174,3.57,6.0
180-190s,4718,4501,78,1.65,139,2.95,2.0
190-200s,4825,4416,278,5.76,131,2.72,6.0
200-210s,4707,4525,50,1.06,132,2.8,1.0
210-220s,4514,4456,43,0.95,15,0.33,1.0
