Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-10s,4757,4693,48,1.01,16,0.34,1.0
10-20s,5052,4987,59,1.17,6,0.12,1.0
20-30s,5096,4960,114,2.24,22,0.43,2.0
30-40s,5387,4946,310,5.75,131,2.43,6.0
40-50s,5303,5007,121,2.28,175,3.3,2.0
50-60s,5385,4950,298,5.53,137,2.54,6.0
60-70s,5258,4969,137,2.61,152,2.89,2.0
70-80s,5399,4905,331,6.13,163,3.02,6.0
80-90s,5328,4986,131,2.46,211,3.96,2.0
90-100s,5345,4908,299,5.59,138,2.58,6.0
100-110s,5244,4973,110,2.1,161,3.07,2.0
110-120s,5276,4858,287,5.44,131,2.48,6.0
120-130s,5238,4957,118,2.25,163,3.11,2.0
130-140s,5374,4923,303,5.64,148,2.75,6.0
140-150s,5313,5045,111,2.09,157,2.96,2.0
150-160s,5398,4948,330,6.11,120,2.22,6.0
160-170s,5316,5018,114,2.14,184,3.46,2.0
170-180s,5422,4938,324,5.98,160,2.95,6.0
180-190s,5327,4993,127,2.38,207,3.89,2.0
190-200s,5308,4878,303,5.71,127,2.39,6.0
200-210s,5196,4960,68,1.31,168,3.23,1.0
210-220s,5056,4994,43,0.85,19,0.38,1.0
