Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-10s,650,638,11,1.69,1,0.15,1.0
10-20s,641,616,10,1.56,15,2.34,1.0
20-30s,538,522,10,1.86,6,1.12,2.0
30-40s,591,530,24,4.06,37,6.26,6.0
40-50s,530,488,17,3.21,25,4.72,2.0
50-60s,568,505,28,4.93,35,6.16,6.0
60-70s,2483,486,9,0.36,1988,80.06,2.0
70-80s,2620,504,35,1.34,2081,79.43,6.0
80-90s,629,580,12,1.91,37,5.88,2.0
90-100s,557,509,24,4.31,24,4.31,6.0
100-110s,589,553,12,2.04,24,4.07,2.0
110-120s,1854,451,20,1.08,1383,74.6,6.0
120-130s,1896,464,10,0.53,1422,75.0,2.0
130-140s,1952,417,30,1.54,1505,77.1,6.0
140-150s,560,515,7,1.25,38,6.79,2.0
150-160s,1988,440,25,1.26,1523,76.61,6.0
160-170s,583,533,10,1.72,40,6.86,2.0
170-180s,1300,410,38,2.92,852,65.54,6.0
180-190s,4108,456,15,0.37,3637,88.53,2.0
190-200s,744,547,34,4.57,163,21.91,6.0
200-210s,1773,371,4,0.23,1398,78.85,1.0
210-220s,742,587,6,0.81,149,20.08,1.0
