Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-10s,5146,5089,54,1.05,3,0.06,1.0
10-20s,5243,5194,45,0.86,4,0.08,1.0
20-30s,5268,5152,88,1.67,28,0.53,2.0
30-40s,5584,5115,316,5.66,153,2.74,6.0
40-50s,5404,5152,108,2.0,144,2.66,2.0
50-60s,5529,5063,322,5.82,144,2.6,6.0
60-70s,5467,5177,118,2.16,172,3.15,2.0
70-80s,5584,5099,319,5.71,166,2.97,6.0
80-90s,5483,5176,118,2.15,189,3.45,2.0
90-100s,5594,5065,348,6.22,181,3.24,6.0
100-110s,5446,5140,115,2.11,191,3.51,2.0
110-120s,5550,5086,315,5.68,149,2.68,6.0
120-130s,5419,5146,113,2.09,160,2.95,2.0
130-140s,5558,5078,350,6.3,130,2.34,6.0
140-150s,5439,5113,103,1.89,223,4.1,2.0
150-160s,5618,5137,319,5.68,162,2.88,6.0
160-170s,5482,5182,129,2.35,171,3.12,2.0
170-180s,5570,5109,320,5.75,141,2.53,6.0
180-190s,5463,5185,115,2.11,163,2.98,2.0
190-200s,5643,5152,316,5.6,175,3.1,6.0
200-210s,5389,5191,58,1.08,140,2.6,1.0
210-220s,5296,5214,59,1.11,23,0.43,1.0
