Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-10s,2562,2529,21,0.82,12,0.47,1.0
10-20s,2658,2624,28,1.05,6,0.23,1.0
20-30s,2657,2575,58,2.18,24,0.9,2.0
30-40s,2697,2451,164,6.08,82,3.04,6.0
40-50s,2676,2519,50,1.87,107,4.0,2.0
50-60s,2755,2499,168,6.1,88,3.19,6.0
60-70s,2724,2598,40,1.47,86,3.16,2.0
70-80s,2804,2543,158,5.63,103,3.67,6.0
80-90s,2704,2562,55,2.03,87,3.22,2.0
90-100s,2796,2560,151,5.4,85,3.04,6.0
100-110s,2745,2599,55,2.0,91,3.32,2.0
110-120s,2835,2597,157,5.54,81,2.86,6.0
120-130s,2723,2556,54,1.98,113,4.15,2.0
130-140s,2744,2487,153,5.58,104,3.79,6.0
140-150s,2739,2585,61,2.23,93,3.4,2.0
150-160s,2881,2599,172,5.97,110,3.82,6.0
160-170s,2794,2631,63,2.25,100,3.58,2.0
170-180s,2805,2523,172,6.13,110,3.92,6.0
180-190s,2815,2656,35,1.24,124,4.4,2.0
190-200s,2792,2572,151,5.41,69,2.47,6.0
200-210s,2563,2461,22,0.86,80,3.12,1.0
210-220s,2626,2584,26,0.99,16,0.61,1.0
