Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-10s,2174,2139,27,1.24,8,0.37,1.0
10-20s,2391,2355,28,1.17,8,0.33,1.0
20-30s,2358,2305,44,1.87,9,0.38,2.0
30-40s,2401,2235,115,4.79,51,2.12,6.0
40-50s,2469,2321,62,2.51,86,3.48,2.0
50-60s,2555,2346,126,4.93,83,3.25,6.0
60-70s,2564,2424,54,2.11,86,3.35,2.0
70-80s,2409,2223,121,5.02,65,2.7,6.0
80-90s,2460,2305,58,2.36,97,3.94,2.0
90-100s,2570,2344,141,5.49,85,3.31,6.0
100-110s,2465,2315,56,2.27,94,3.81,2.0
110-120s,2505,2310,122,4.87,73,2.91,6.0
120-130s,2392,2237,62,2.59,93,3.89,2.0
130-140s,2563,2350,134,5.23,79,3.08,6.0
140-150s,2544,2386,47,1.85,111,4.36,2.0
150-160s,2562,2364,128,5.0,70,2.73,6.0
160-170s,2477,2320,54,2.18,103,4.16,2.0
170-180s,2656,2402,164,6.17,90,3.39,6.0
180-190s,2487,2295,58,2.33,134,5.39,2.0
190-200s,2528,2304,134,5.3,90,3.56,6.0
200-210s,2410,2268,40,1.66,102,4.23,1.0
210-220s,2345,2295,22,0.94,28,1.19,1.0
