Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-60s,21464,21273,191,0.89,0,0.0,1.0
60-120s,21542,21182,360,1.67,0,0.0,1.5
120-180s,21675,21251,424,1.96,0,0.0,2.0
180-240s,21849,21290,559,2.56,0,0.0,2.5
240-300s,28787,20854,617,2.14,7316,25.41,3.0
300-360s,28719,20918,793,2.76,7008,24.4,3.5
360-420s,28725,20965,845,2.94,6915,24.07,4.0
420-480s,40262,19395,968,2.4,19899,49.42,4.5
480-540s,43055,18308,1017,2.36,23730,55.12,5.0
540-600s,25526,21213,186,0.73,4127,16.17,1.0
