Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-60s,22108,21888,220,1.0,0,0.0,1.0
60-120s,22495,22186,309,1.37,0,0.0,1.5
120-180s,22319,21877,442,1.98,0,0.0,2.0
180-240s,26711,21945,533,2.0,4233,15.85,2.5
240-300s,25024,21812,627,2.51,2585,10.33,3.0
300-360s,31021,21599,749,2.41,8673,27.96,3.5
360-420s,36753,21348,892,2.43,14513,39.49,4.0
420-480s,40495,18793,920,2.27,20782,51.32,4.5
480-540s,39767,19579,1040,2.62,19148,48.15,5.0
540-600s,27444,21618,203,0.74,5623,20.49,1.0
