Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-60s,34815,34471,344,0.99,0,0.0,1.0
60-120s,34998,34435,563,1.61,0,0.0,1.5
120-180s,41665,33309,686,1.65,7670,18.41,2.0
180-240s,45298,31922,827,1.83,12549,27.7,2.5
240-300s,45450,30818,958,2.11,13674,30.09,3.0
300-360s,46061,28109,1027,2.23,16925,36.74,3.5
360-420s,45793,26128,1128,2.46,18537,40.48,4.0
420-480s,43392,24941,1154,2.66,17297,39.86,4.5
480-540s,42460,22728,1138,2.68,18594,43.79,5.0
540-600s,37096,33229,355,0.96,3512,9.47,1.0
