Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-60s,16013,15850,163,1.02,0,0.0,1.0
60-120s,16445,16187,258,1.57,0,0.0,1.5
120-180s,16195,15863,332,2.05,0,0.0,2.0
180-240s,16235,15852,383,2.36,0,0.0,2.5
240-300s,16466,16008,458,2.78,0,0.0,3.0
300-360s,16253,15675,578,3.56,0,0.0,3.5
360-420s,16283,15645,638,3.92,0,0.0,4.0
420-480s,28188,15186,708,2.51,12294,43.61,4.5
480-540s,38764,14892,831,2.14,23041,59.44,5.0
540-600s,22064,15755,173,0.78,6136,27.81,1.0
