Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-60s,18281,18104,177,0.97,0,0.0,1.0
60-120s,18018,17765,253,1.4,0,0.0,1.5
120-180s,17947,17585,362,2.02,0,0.0,2.0
180-240s,18237,17772,465,2.55,0,0.0,2.5
240-300s,18456,17867,589,3.19,0,0.0,3.0
300-360s,26907,17609,659,2.45,8639,32.11,3.5
360-420s,18574,17827,747,4.02,0,0.0,4.0
420-480s,40136,17173,791,1.97,22172,55.24,4.5
480-540s,47111,17185,925,1.96,29001,61.56,5.0
540-600s,19752,17764,158,0.8,1830,9.26,1.0
