Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-60s,22930,22706,224,0.98,0,0.0,1.0
60-120s,23076,22734,342,1.48,0,0.0,1.5
120-180s,23445,22968,477,2.03,0,0.0,2.0
180-240s,23328,22713,615,2.64,0,0.0,2.5
240-300s,29482,22447,716,2.43,6319,21.43,3.0
300-360s,23175,22400,775,3.34,0,0.0,3.5
360-420s,30206,22010,879,2.91,7317,24.22,4.0
420-480s,42287,20794,1023,2.42,20470,48.41,4.5
480-540s,41934,19503,1067,2.54,21364,50.95,5.0
540-600s,27972,21919,218,0.78,5835,20.86,1.0
