================================================================================
EXPERIMENT: Gradual Error Increase Experiment (Adaptive)
================================================================================
Graph Title: Adaptive Circuit Breaker: Gradual Error Increase (1% to 5%)
Adaptive Mode: true
Actual Duration: 600.14 seconds
Threads: 60
Requests per Second: 3000
Service Count: 1

=== Summary Statistics ===
Total Requests: 353790
  Successes: 340150 (96.14%)
  Rejected: 3799 (1.07%)
  Errors: 9841 (2.78%)

=== Time-Based Analysis (60-second buckets) ===
⚡ 0-60s [Target: 1.0%]: 34212 requests | Success: 33792 | Errors: 326 (0.95%) | Rejected: 94 (0.27%)
⚡ 60-120s [Target: 1.5%]: 34947 requests | Success: 34308 | Errors: 467 (1.34%) | Rejected: 172 (0.49%)
⚡ 120-180s [Target: 2.0%]: 35315 requests | Success: 34145 | Errors: 742 (2.1%) | Rejected: 428 (1.21%)
⚡ 180-240s [Target: 2.5%]: 35489 requests | Success: 34110 | Errors: 931 (2.62%) | Rejected: 448 (1.26%)
⚡ 240-300s [Target: 3.0%]: 35645 requests | Success: 34099 | Errors: 1065 (2.99%) | Rejected: 481 (1.35%)
⚡ 300-360s [Target: 3.5%]: 35602 requests | Success: 33937 | Errors: 1210 (3.4%) | Rejected: 455 (1.28%)
⚡ 360-420s [Target: 4.0%]: 35740 requests | Success: 33826 | Errors: 1413 (3.95%) | Rejected: 501 (1.4%)
⚡ 420-480s [Target: 4.5%]: 35759 requests | Success: 33701 | Errors: 1520 (4.25%) | Rejected: 538 (1.5%)
⚡ 480-540s [Target: 5.0%]: 36064 requests | Success: 33688 | Errors: 1804 (5.0%) | Rejected: 572 (1.59%)
⚡ 540-600s [Target: 1.0%]: 34467 requests | Success: 34001 | Errors: 356 (1.03%) | Rejected: 110 (0.32%)

=== Thread Timing Statistics ===
Total threads: 60
Experiment wall clock duration: 600.14s

Time spent making requests per thread:
  Min:     599.89s
  Max:     600.09s
  Average: 600.02s
  Total (all threads): 36000.9s

Thread utilization:
  Average: 99.98% (time in requests / wall clock time)

Requests per thread:
  Average: 5897 requests
  Average time per request: 0.1018s

=== PID Controller State Per Second (Aggregated across threads) ===
Window   # Threads  Err % (min-max)        Ideal Err %     Reject % (min-max)     Integral (min-max)        Derivative (min-max)      Total Req Time 
------------------------------------------------------------------------------------------------------------------------------------------------------
1        60         0.82% (0.0%-3.13%)     1.0%            0.19% (0.0%-1.91%)     0.0215 (0.0-0.2125)       -0.0001 (-0.0005-0.0011)  606.53s        
2        60         0.81% (0.0%-4.04%)     1.0%            0.29% (0.0%-2.74%)     0.0417 (0.0-0.3045)       -0.0001 (-0.0025-0.0015)  1205.92s       
3        60         0.95% (0.0%-3.13%)     1.0%            0.37% (0.0%-1.92%)     0.0589 (-0.0006-0.2156)   0.0 (-0.0029-0.0015)      1805.91s       
4        60         1.08% (0.0%-4.04%)     1.0%            0.45% (0.0%-2.79%)     0.0671 (-0.0115-0.3061)   0.0 (-0.002-0.0021)       2406.39s       
5        60         1.07% (0.0%-5.05%)     1.0%            0.44% (0.0%-3.75%)     0.0642 (-0.0252-0.4886)   -0.0001 (-0.0029-0.0019)  3005.87s       
6        60         0.93% (0.0%-4.08%)     1.0%            0.33% (0.0%-3.1%)      0.0634 (-0.0172-0.4898)   -0.0001 (-0.0033-0.0015)  3606.63s       
7        60         1.25% (0.0%-3.09%)     1.0%            0.51% (0.0%-2.0%)      0.086 (-0.0291-0.4898)    0.0002 (-0.003-0.002)     4205.75s       
8        60         1.11% (0.0%-3.09%)     1.01%           0.46% (0.0%-2.06%)     0.1007 (-0.0337-0.4856)   -0.0002 (-0.0025-0.0021)  4805.7s        
9        60         1.5% (0.0%-4.04%)      1.02%           0.73% (0.0%-2.73%)     0.1299 (-0.048-0.5123)    0.0002 (-0.0023-0.002)    5405.9s        
10       60         1.56% (0.0%-6.0%)      1.04%           0.75% (0.0%-4.6%)      0.1322 (-0.0314-0.5899)   -0.0001 (-0.0024-0.003)   6005.76s       
11       60         1.29% (0.0%-4.12%)     1.09%           0.57% (0.0%-2.99%)     0.1238 (-0.0511-0.5076)   -0.0002 (-0.0053-0.0018)  6605.83s       
12       60         1.42% (0.0%-4.08%)     1.09%           0.67% (0.0%-2.89%)     0.1311 (-0.0511-0.6123)   0.0002 (-0.002-0.0033)    7206.07s       
13       60         2.16% (0.0%-7.0%)      1.09%           1.21% (0.0%-5.52%)     0.1889 (-0.0503-0.7193)   0.0003 (-0.0024-0.0029)   7805.76s       
