Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-30s,12098,11976,122,1.01,0,0.0,1.0
30-60s,9095,8512,224,2.46,359,3.95,1.0
60-90s,7855,7197,202,2.57,456,5.81,1.0
90-120s,8319,7631,163,1.96,525,6.31,1.0
120-150s,8535,7726,190,2.23,619,7.25,1.0
150-180s,8639,7777,183,2.12,679,7.86,1.0
180-210s,8858,7978,182,2.05,698,7.88,1.0
210-240s,9017,8096,168,1.86,753,8.35,1.0
240-270s,8657,7789,191,2.21,677,7.82,1.0
270-300s,9147,8247,164,1.79,736,8.05,1.0
300-330s,9050,8151,176,1.94,723,7.99,1.0
330-360s,11880,11518,129,1.09,233,1.96,1.0
360-390s,12112,11970,122,1.01,20,0.17,1.0
390-420s,12090,11980,104,0.86,6,0.05,1.0
