Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-30s,8954,8847,107,1.19,0,0.0,1.0
30-60s,7133,6772,173,2.43,188,2.64,1.0
60-90s,6232,5741,193,3.1,298,4.78,1.0
90-120s,5711,5281,158,2.77,272,4.76,1.0
120-150s,6158,5552,176,2.86,430,6.98,1.0
150-180s,6585,5976,141,2.14,468,7.11,1.0
180-210s,6340,5747,164,2.59,429,6.77,1.0
210-240s,6465,5833,147,2.27,485,7.5,1.0
240-270s,6682,6027,154,2.3,501,7.5,1.0
270-300s,6340,5719,152,2.4,469,7.4,1.0
300-330s,6671,6061,146,2.19,464,6.96,1.0
330-360s,8147,7923,102,1.25,122,1.5,1.0
360-390s,8844,8725,105,1.19,14,0.16,1.0
390-420s,8812,8728,79,0.9,5,0.06,1.0
