Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-30s,13891,13749,142,1.02,0,0.0,1.0
30-60s,10346,9602,252,2.44,492,4.76,1.0
60-90s,9514,8666,213,2.24,635,6.67,1.0
90-120s,9957,8999,183,1.84,775,7.78,1.0
120-150s,9885,8966,200,2.02,719,7.27,1.0
150-180s,9981,8950,217,2.17,814,8.16,1.0
180-210s,10359,9282,179,1.73,898,8.67,1.0
210-240s,10046,9035,185,1.84,826,8.22,1.0
240-270s,10191,9159,216,2.12,816,8.01,1.0
270-300s,10271,9203,196,1.91,872,8.49,1.0
300-330s,10302,9231,199,1.93,872,8.46,1.0
330-360s,13770,13302,147,1.07,321,2.33,1.0
360-390s,13785,13630,140,1.02,15,0.11,1.0
390-420s,13911,13753,136,0.98,22,0.16,1.0
