Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-30s,11951,11836,115,0.96,0,0.0,1.0
30-60s,8826,8269,198,2.24,359,4.07,1.0
60-90s,8260,7530,233,2.82,497,6.02,1.0
90-120s,8961,8076,199,2.22,686,7.66,1.0
120-150s,8614,7767,193,2.24,654,7.59,1.0
150-180s,8743,7855,181,2.07,707,8.09,1.0
180-210s,9109,8160,185,2.03,764,8.39,1.0
210-240s,9103,8225,177,1.94,701,7.7,1.0
240-270s,8890,8022,169,1.9,699,7.86,1.0
270-300s,8865,7919,205,2.31,741,8.36,1.0
300-330s,8746,7866,171,1.96,709,8.11,1.0
330-360s,11564,11290,107,0.93,167,1.44,1.0
360-390s,12096,11947,130,1.07,19,0.16,1.0
390-420s,11972,11843,118,0.99,11,0.09,1.0
