Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-30s,11107,10992,100,0.9,15,0.14,1.0
30-60s,8379,7993,177,2.11,209,2.49,1.0
60-90s,8410,7705,211,2.51,494,5.87,1.0
90-120s,8133,7368,213,2.62,552,6.79,1.0
120-150s,8529,7718,169,1.98,642,7.53,1.0
150-180s,8254,7491,189,2.29,574,6.95,1.0
180-210s,8543,7665,174,2.04,704,8.24,1.0
210-240s,8858,7886,176,1.99,796,8.99,1.0
240-270s,8551,7689,182,2.13,680,7.95,1.0
270-300s,8495,7617,182,2.14,696,8.19,1.0
300-330s,8713,7793,198,2.27,722,8.29,1.0
330-360s,11344,10988,103,0.91,253,2.23,1.0
360-390s,11519,11369,123,1.07,27,0.23,1.0
390-420s,11617,11461,132,1.14,24,0.21,1.0
