Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-30s,8784,8712,72,0.82,0,0.0,1.0
30-60s,6856,6464,202,2.95,190,2.77,1.0
60-90s,7361,6808,175,2.38,378,5.14,1.0
90-120s,7587,6869,201,2.65,517,6.81,1.0
120-150s,7880,7141,166,2.11,573,7.27,1.0
150-180s,7837,7199,161,2.05,477,6.09,1.0
180-210s,7713,6999,187,2.42,527,6.83,1.0
210-240s,7854,7122,172,2.19,560,7.13,1.0
240-270s,7795,7042,168,2.16,585,7.5,1.0
270-300s,8389,7536,167,1.99,686,8.18,1.0
300-330s,7850,7066,169,2.15,615,7.83,1.0
330-360s,8821,8495,98,1.11,228,2.58,1.0
360-390s,9021,8931,85,0.94,5,0.06,1.0
390-420s,8875,8778,97,1.09,0,0.0,1.0
