Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-30s,9645,9010,232,2.41,403,4.18,1.0
30-60s,6184,5778,196,3.17,210,3.4,1.0
60-90s,5611,5110,206,3.67,295,5.26,1.0
90-120s,5776,5133,218,3.77,425,7.36,1.0
120-150s,5366,4702,229,4.27,435,8.11,1.0
150-180s,6049,5368,168,2.78,513,8.48,1.0
180-210s,5412,4709,194,3.58,509,9.41,1.0
210-240s,5558,4911,193,3.47,454,8.17,1.0
240-270s,6286,5387,221,3.52,678,10.79,1.0
270-300s,6065,5165,203,3.35,697,11.49,1.0
300-330s,6289,5493,197,3.13,599,9.52,1.0
330-360s,8406,7794,186,2.21,426,5.07,1.0
360-390s,9614,8956,206,2.14,452,4.7,1.0
390-420s,8747,8234,162,1.85,351,4.01,1.0
