Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-30s,10301,10026,130,1.26,145,1.41,1.0
30-60s,4676,4184,153,3.27,339,7.25,1.0
60-90s,5372,4783,150,2.79,439,8.17,1.0
90-120s,5406,4772,154,2.85,480,8.88,1.0
120-150s,5761,5081,142,2.46,538,9.34,1.0
150-180s,5393,4753,153,2.84,487,9.03,1.0
180-210s,5690,4967,161,2.83,562,9.88,1.0
210-240s,5565,4894,148,2.66,523,9.4,1.0
240-270s,5230,4612,149,2.85,469,8.97,1.0
270-300s,5823,5150,160,2.75,513,8.81,1.0
300-330s,4970,4368,153,3.08,449,9.03,1.0
330-360s,9737,9213,120,1.23,404,4.15,1.0
360-390s,10396,10099,127,1.22,170,1.64,1.0
390-420s,10553,10288,114,1.08,151,1.43,1.0
