Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-30s,10643,10434,103,0.97,106,1.0,1.0
30-60s,4410,3939,144,3.27,327,7.41,1.0
60-90s,5023,4438,148,2.95,437,8.7,1.0
90-120s,5019,4410,154,3.07,455,9.07,1.0
120-150s,4804,4217,140,2.91,447,9.3,1.0
150-180s,5027,4450,152,3.02,425,8.45,1.0
180-210s,4889,4315,147,3.01,427,8.73,1.0
210-240s,5057,4439,147,2.91,471,9.31,1.0
240-270s,5260,4671,140,2.66,449,8.54,1.0
270-300s,4808,4223,155,3.22,430,8.94,1.0
300-330s,4956,4296,158,3.19,502,10.13,1.0
330-360s,10196,9642,135,1.32,419,4.11,1.0
360-390s,10954,10741,94,0.86,119,1.09,1.0
390-420s,11144,10888,113,1.01,143,1.28,1.0
