Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-30s,6345,6206,66,1.04,73,1.15,1.0
30-60s,2377,2154,103,4.33,120,5.05,1.0
60-90s,2636,2328,120,4.55,188,7.13,1.0
90-120s,3417,2925,130,3.8,362,10.59,1.0
120-150s,2617,2335,100,3.82,182,6.95,1.0
150-180s,3138,2760,121,3.86,257,8.19,1.0
180-210s,2602,2306,113,4.34,183,7.03,1.0
210-240s,3291,2885,122,3.71,284,8.63,1.0
240-270s,2849,2513,110,3.86,226,7.93,1.0
270-300s,2890,2581,113,3.91,196,6.78,1.0
300-330s,2937,2560,125,4.26,252,8.58,1.0
330-360s,5025,4789,76,1.51,160,3.18,1.0
360-390s,5292,5178,51,0.96,63,1.19,1.0
390-420s,5973,5830,60,1.0,83,1.39,1.0
