Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-30s,8945,8776,85,0.95,84,0.94,1.0
30-60s,3834,3431,131,3.42,272,7.09,1.0
60-90s,4590,4096,120,2.61,374,8.15,1.0
90-120s,4247,3739,141,3.32,367,8.64,1.0
120-150s,4511,3964,147,3.26,400,8.87,1.0
150-180s,4539,3966,134,2.95,439,9.67,1.0
180-210s,4221,3729,136,3.22,356,8.43,1.0
210-240s,4696,4152,144,3.07,400,8.52,1.0
240-270s,4156,3632,151,3.63,373,8.97,1.0
270-300s,4430,3908,126,2.84,396,8.94,1.0
300-330s,4502,3988,136,3.02,378,8.4,1.0
330-360s,8955,8511,117,1.31,327,3.65,1.0
360-390s,9390,9183,88,0.94,119,1.27,1.0
390-420s,9747,9577,87,0.89,83,0.85,1.0
