Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-30s,10463,10255,100,0.96,108,1.03,1.0
30-60s,4857,4318,142,2.92,397,8.17,1.0
60-90s,5664,5008,160,2.82,496,8.76,1.0
90-120s,5932,5232,153,2.58,547,9.22,1.0
120-150s,5792,5062,179,3.09,551,9.51,1.0
150-180s,5579,4913,158,2.83,508,9.11,1.0
180-210s,5431,4795,161,2.96,475,8.75,1.0
210-240s,5838,5148,158,2.71,532,9.11,1.0
240-270s,5852,5184,163,2.79,505,8.63,1.0
270-300s,5278,4654,164,3.11,460,8.72,1.0
300-330s,5852,5173,158,2.7,521,8.9,1.0
330-360s,10580,10009,128,1.21,443,4.19,1.0
360-390s,10950,10666,124,1.13,160,1.46,1.0
390-420s,10895,10645,99,0.91,151,1.39,1.0
