Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-30s,10222,10018,108,1.06,96,0.94,1.0
30-60s,3877,3485,117,3.02,275,7.09,1.0
60-90s,4458,3921,154,3.45,383,8.59,1.0
90-120s,4949,4394,127,2.57,428,8.65,1.0
120-150s,4666,4109,139,2.98,418,8.96,1.0
150-180s,4831,4269,129,2.67,433,8.96,1.0
180-210s,5116,4512,148,2.89,456,8.91,1.0
210-240s,5104,4502,148,2.9,454,8.89,1.0
240-270s,4726,4182,143,3.03,401,8.48,1.0
270-300s,4813,4273,134,2.78,406,8.44,1.0
300-330s,5204,4588,146,2.81,470,9.03,1.0
330-360s,9453,8969,125,1.32,359,3.8,1.0
360-390s,10290,10003,120,1.17,167,1.62,1.0
390-420s,10584,10345,112,1.06,127,1.2,1.0
