Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-30s,10328,10113,108,1.05,107,1.04,1.0
30-60s,4035,3598,131,3.25,306,7.58,1.0
60-90s,4805,4241,140,2.91,424,8.82,1.0
90-120s,4743,4180,146,3.08,417,8.79,1.0
120-150s,4945,4394,146,2.95,405,8.19,1.0
150-180s,4845,4277,147,3.03,421,8.69,1.0
180-210s,4893,4321,151,3.09,421,8.6,1.0
210-240s,5176,4581,139,2.69,456,8.81,1.0
240-270s,4446,3912,155,3.49,379,8.52,1.0
270-300s,4772,4183,150,3.14,439,9.2,1.0
300-330s,4591,4025,149,3.25,417,9.08,1.0
330-360s,9272,8813,116,1.25,343,3.7,1.0
360-390s,10462,10230,113,1.08,119,1.14,1.0
390-420s,10304,10046,106,1.03,152,1.48,1.0
