Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-20s,11506,11380,116,1.01,10,0.09,1.0
20-40s,11698,11546,124,1.06,28,0.24,1.0
40-60s,11727,11555,125,1.07,47,0.4,1.0
60-80s,15695,10672,2695,17.17,2328,14.83,20.0
80-100s,12576,11544,146,1.16,886,7.05,1.0
100-120s,11766,11532,126,1.07,108,0.92,1.0
120-140s,11758,11545,120,1.02,93,0.79,1.0
140-160s,16577,3890,5563,33.56,7124,42.98,60.0
160-180s,13490,10430,181,1.34,2879,21.34,1.0
180-200s,11799,11586,120,1.02,93,0.79,1.0
200-220s,11709,11522,100,0.85,87,0.74,1.0
220-240s,16371,193,4881,29.81,11297,69.01,100.0
240-260s,13168,10047,135,1.03,2986,22.68,1.0
260-280s,11944,11571,130,1.09,243,2.03,1.0
280-300s,11918,11589,121,1.02,208,1.75,1.0
