Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-20s,3721,3668,41,1.1,12,0.32,1.0
20-40s,3762,3695,37,0.98,30,0.8,1.0
40-60s,3641,3587,30,0.82,24,0.66,1.0
60-80s,4863,3347,806,16.57,710,14.6,20.0
80-100s,3978,3606,46,1.16,326,8.2,1.0
100-120s,3872,3793,36,0.93,43,1.11,1.0
120-140s,3569,3496,31,0.87,42,1.18,1.0
140-160s,12472,2463,3579,28.7,6430,51.56,60.0
160-180s,5711,3623,156,2.73,1932,33.83,1.0
180-200s,3638,3575,30,0.82,33,0.91,1.0
200-220s,3626,3544,40,1.1,42,1.16,1.0
220-240s,15263,165,3269,21.42,11829,77.5,100.0
240-260s,7939,3319,60,0.76,4560,57.44,1.0
260-280s,3917,3762,45,1.15,110,2.81,1.0
280-300s,3833,3713,42,1.1,78,2.03,1.0
