Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-20s,11597,11467,115,0.99,15,0.13,1.0
20-40s,11673,11537,112,0.96,24,0.21,1.0
40-60s,11189,11046,99,0.88,44,0.39,1.0
60-80s,14575,10057,2447,16.79,2071,14.21,20.0
80-100s,12516,11539,123,0.98,854,6.82,1.0
100-120s,11723,11537,105,0.9,81,0.69,1.0
120-140s,11751,11545,116,0.99,90,0.77,1.0
140-160s,16456,3857,5631,34.22,6968,42.34,60.0
160-180s,13432,10528,124,0.92,2780,20.7,1.0
180-200s,11794,11570,130,1.1,94,0.8,1.0
200-220s,11801,11569,118,1.0,114,0.97,1.0
220-240s,16155,104,4941,30.58,11110,68.77,100.0
240-260s,13215,10092,117,0.89,3006,22.75,1.0
260-280s,11880,11589,94,0.79,197,1.66,1.0
280-300s,11905,11579,122,1.02,204,1.71,1.0
