Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-20s,8379,8277,84,1.0,18,0.21,1.0
20-40s,8520,8386,88,1.03,46,0.54,1.0
40-60s,8644,8525,78,0.9,41,0.47,1.0
60-80s,11470,7902,1918,16.72,1650,14.39,20.0
80-100s,9119,8359,97,1.06,663,7.27,1.0
100-120s,8636,8518,68,0.79,50,0.58,1.0
120-140s,8673,8506,84,0.97,83,0.96,1.0
140-160s,16510,3688,5374,32.55,7448,45.11,60.0
160-180s,10752,8174,79,0.73,2499,23.24,1.0
180-200s,8521,8404,68,0.8,49,0.58,1.0
200-220s,8584,8462,75,0.87,47,0.55,1.0
220-240s,16661,97,4559,27.36,12005,72.05,100.0
240-260s,10636,7497,79,0.74,3060,28.77,1.0
260-280s,8831,8570,80,0.91,181,2.05,1.0
280-300s,8773,8524,85,0.97,164,1.87,1.0
